	void	main	(	)	{	}	int	return	;	array	[	]	float	bool	long	string	if	then	else	for	,	scanf	printf	='	l	nb	real	id	= ='	<	>	+	-	*	/	++	--	"%	"	&	d	f	c	s	$	S	P	D	T	I	A	E	F
38	err	err	s66	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
39	err	err	err	err	err	err	err	err	s48	err	err	err	err	err	err	err	err	err	err	err	s49	err	err	s67	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
40	err	err	err	err	err	err	err	err	err	err	s68	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
41	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	69	err
42	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	70	err
43	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	71	err
44	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	72	err
45	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	73	err
46	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	74	err
47	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	75	err
48	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	76	err
49	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	77	err
50	err	err	err	r34	err	r34	err	err	r34	r34	err	r34	err	err	err	err	err	err	err	err	r34	err	err	r34	err	err	err	err	r34	r34	r34	r34	r34	r34	r34	r34	r34	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
51	err	err	err	r35	err	r35	err	err	r35	r35	err	r35	err	err	err	err	err	err	err	err	r35	err	err	r35	err	err	err	err	r35	r35	r35	r35	r35	r35	r35	r35	r35	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
52	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	78	err
53	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s79	err	err	err	err	err	err	err	err	err	err	err	err	err	err
54	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r39	err	err	err	err	err	err	err	err	err	err	err	err	err	err
